Site,Animal,Population,ld14,brd14,lv14
Dabob,1,N,0,0,0
Dabob,2,N,0,0,0
Dabob,3,N,0,0,0
Dabob,4,N,0,0,0
Dabob,5,N,0,0,0
Dabob,6,N,0,0,0
Dabob,7,N,0,0,0
Dabob,8,N,0,0,0
Dabob,9,N,0,0,0
Dabob,10,N,0,0,0
Dabob,11,N,0,0,0
Dabob,12,N,0,0,0
Dabob,13,N,0,0,0
Dabob,14,N,0,0,0
Dabob,15,N,0,0,0
Dabob,16,N,0,0,0
Dabob,17,N,0,0,0
Dabob,18,N,0,0,0
Dabob,19,N,0,0,0
Dabob,20,N,0,0,0
Dabob,21,N,0,0,0
Dabob,22,N,0,0,0
Dabob,23,N,0,0,0
Dabob,24,N,0,0,0
Dabob,25,N,0,0,0
Dabob,26,N,0,0,0
Dabob,27,N,0,0,0
Dabob,28,N,0,0,0
Dabob,29,N,0,0,0
Dabob,30,N,0,0,0
Dabob,31,N,0,0,0
Dabob,32,N,0,0,0
Dabob,33,N,0,0,0
Dabob,34,N,0,0,0
Dabob,35,N,0,0,0
Dabob,36,N,0,0,0
Dabob,37,N,0,0,0
Dabob,38,N,0,0,0
Dabob,39,N,0,0,0
Dabob,40,N,0,0,0
Dabob,41,N,0,0,0
Dabob,42,N,0,0,0
Dabob,43,N,0,0,0
Dabob,44,N,0,0,0
Dabob,45,N,0,0,0
Dabob,46,N,0,0,0
Dabob,47,N,0,0,0
Dabob,48,N,0,0,0
Dabob,49,N,0,0,0
Dabob,50,N,0,0,0
Dabob,51,N,0,0,0
Dabob,52,N,0,0,0
Dabob,53,N,0,0,0
Dabob,54,N,0,0,0
Dabob,55,N,0,0,0
Dabob,56,N,0,0,0
Dabob,57,N,0,0,0
Dabob,58,N,0,0,0
Dabob,59,N,0,0,0
Dabob,60,N,0,0,0
Dabob,61,N,0,0,0
Dabob,62,N,0,0,0
Dabob,63,N,0,0,0
Dabob,64,N,0,0,0
Dabob,65,N,0,0,0
Dabob,66,N,0,0,0
Dabob,67,N,0,0,0
Dabob,68,N,0,0,0
Dabob,69,N,0,0,0
Dabob,70,N,0,0,0
Dabob,71,N,0,0,0
Dabob,72,N,0,0,0
Dabob,73,N,0,0,0
Dabob,74,N,0,0,0
Dabob,75,N,0,0,0
Dabob,76,N,0,0,0
Dabob,77,N,0,0,0
Dabob,78,N,0,0,0
Dabob,79,N,0,0,0
Dabob,80,N,0,0,0
Dabob,81,N,0,0,0
Dabob,82,N,0,0,0
Dabob,83,N,0,0,0
Dabob,84,N,0,0,0
Dabob,85,N,0,0,0
Dabob,86,N,0,0,0
Dabob,87,N,0,0,0
Dabob,88,N,0,0,0
Dabob,89,N,0,0,0
Dabob,90,N,0,0,0
Dabob,91,N,0,0,0
Dabob,92,N,0,0,0
Dabob,93,N,0,0,0
Dabob,94,N,0,0,0
Dabob,95,N,0,0,0
Dabob,96,N,0,0,0
Dabob,97,N,0,0,0
Dabob,98,N,0,0,0
Dabob,99,N,0,0,0
Dabob,100,N,0,0,0
Dabob,101,N,0,0,0
Dabob,102,N,0,0,0
Dabob,103,N,0,0,0
Dabob,104,N,0,0,0
Dabob,105,N,0,0,0
Dabob,106,N,0,0,0
Dabob,107,N,0,0,0
Dabob,108,N,0,0,0
Dabob,109,N,0,0,0
Dabob,110,N,0,0,0
Dabob,111,N,0,0,0
Dabob,112,N,0,0,0
Dabob,113,N,0,0,0
Dabob,114,N,0,0,0
Dabob,115,N,0,0,0
Dabob,116,N,0,0,0
Dabob,117,N,0,0,0
Dabob,118,N,0,0,0
Dabob,119,N,0,0,0
Dabob,120,N,0,0,0
Dabob,121,N,0,0,0
Dabob,122,N,0,0,0
Dabob,123,N,0,0,0
Dabob,124,N,0,0,0
Dabob,125,N,0,0,0
Dabob,126,N,0,0,0
Dabob,127,N,0,0,0
Dabob,128,N,0,0,0
Dabob,129,N,0,0,0
Dabob,130,N,0,0,0
Dabob,131,N,0,0,0
Dabob,132,N,0,0,0
Dabob,133,N,0,0,0
